t,posx,posy,posz,velx,vely,velz,accx,accy,accz,jerkx,jerky,jerkz,snapx,snapy,snapz, yaw
0.38,0.08805383404829255,-0.12357702514961841,0.0,0.7805732337877256,-1.0228788108010565,0.0,4.200399296844309,-4.45221361355144,0.0,1.6785422584019125,12.700296998971217,0.0,-139.05578535665305,265.20163106995903,0.0,0.0
0.39,0.09606980789957896,-0.1340261965493141,0.0,0.8226378445265369,-1.0667216476332815,0.0,4.210179122793405,-4.311918026767359,0.0,0.27241507899305106,15.361503557291693,0.0,-142.05995520833343,266.8105631944446,0.0,0.0
0.4,0.10450668129858261,-0.1449063374485597,0.0,0.8647294741655239,-1.1090282578875177,0.0,4.205758573388205,-4.144953086419753,0.0,-1.1604087791495317,18.031827160493858,0.0,-144.3897050754459,267.01516460905384,0.0,0.0
0.41000000000000003,0.11336401024980737,-0.15620075118446522,0.0,0.906704897874545,-1.1495317286998625,0.0,4.186904944443397,-3.951298826139013,0.0,-2.6130226353416646,20.696928238361682,0.0,-146.01253879029505,265.7561826903295,0.0,0.0
0.42,0.12263990803890006,-0.1678900733818,0.0,0.9484189145316668,-1.1879656743966671,0.0,4.153456223388892,-3.7310816378888885,0.0,-4.078194847222232,23.34187469444447,0.0,-146.89596018518526,262.9743648148151,0.0,0.0
0.43,0.13233102905847338,-0.17995228464156662,0.0,0.9897250698874025,-1.224065729704178,0.0,4.105324338886597,-3.4845801972287767,0.0,-5.548368810753176,25.951141906057114,0.0,-147.00747309242124,258.61045835905395,0.0,0.0
0.44,0.14243256002805238,-0.19236273845793367,0.0,1.0304764122251124,-1.2575711022108096,0.0,4.042498410447189,-3.21223138857613,0.0,-7.015662960219482,28.508612724279853,0.0,-146.31458134430736,252.60521069958887,0.0,0.0
0.45,0.15293821893310555,-0.20509420495605474,0.0,1.0705262805175784,-1.2882261840820315,0.0,3.9650479980468765,-2.9146362304687483,0.0,-8.471870768229186,30.99757747395837,0.0,-144.78478877314828,244.8993692129632,0.0,0.0
0.46,0.16384026200812268,-0.21811693104329968,0.0,1.1097291250797423,-1.3157822230278877,0.0,3.8731263517441716,-2.5925658008271575,0.0,-9.908460745713315,33.400733953703764,0.0,-142.38559921124843,235.4336812757206,0.0,0.0
0.47000000000000003,0.17512949908870082,-0.23139871756642344,0.0,1.147941360717611,-1.339999052523134,0.0,3.766973661296661,-2.2469671622169463,0.0,-11.316576441926017,35.70018743589254,0.0,-139.08451649091225,224.1488942644036,0.0,0.0
0.48,0.18679531765760005,-0.2449050140672,0.0,1.1850222523733336,-1.3606468812799997,0.0,3.6469203057777797,-1.878969287111107,0.0,-12.68703644444446,37.8774506666667,0.0,-134.8490444444445,210.98575555555593,0.0,0.0
0.49,0.1988257159097314,-0.2585990317290472,0.0,1.2208348332664432,-1.3775081419735762,0.0,3.5133901031935655,-1.4898889831523865,0.0,-14.010334379168837,39.913443865933715,0.0,-129.64668690414968,195.88501252572067,0.0,0.0
0.5,0.2112073451610369,-0.2724418751071674,0.0,1.2552468555312646,-1.390379399219822,0.0,3.366903560099452,-1.0812368184156327,0.0,-15.276638910322376,41.78849472736631,0.0,-123.44494770233209,178.78741255144078,0.0,0.0
0.51,0.22392556192622592,-0.28639269323473293,0.0,1.2881317733504951,-1.399073316806198,0.0,3.2080811212170164,-0.6547230466701305,0.0,-16.475793740451397,43.48233841840285,0.0,-116.21133067129634,159.63370300925962,0.0,0.0
0.52,0.236964489990327,-0.3004088506976396,0.0,1.319369758584948,-1.4034206841749244,0.0,3.037646419050754,-0.21226353264196646,0.0,-17.59731761042528,44.97411758024699,0.0,-107.9133396433472,138.36463127572065,0.0,0.0
0.53,0.25030709279901875,-0.31444611927035704,0.0,1.3488487488994658,-1.403272502158859,0.0,2.8564295235048665,0.24401432272364434,0.0,-18.63040429943632,46.242382327867865,0.0,-98.51847845078885,114.92094472736662,0.0,0.0
